uid,lpips_diff
5u_O-YxX,0.4615379869937897
xvbM33jC,0.49142760038375854
d97fFM4L,0.22646790742874146
6Rm1WcRI,0.49096620082855225
ZZmc4Bb1,0.3715750277042389
1v_coXV4,0.4776756763458252
JezoTnN0,0.534034013748169
Pcjf4lk6,0.48541364073753357
uhIqrGPr,0.5161399841308594
KeP2pMyL,0.4323228895664215
w766ycJh,0.5832554697990417
OwAYazEW,0.47614550590515137
MHOQ-jXg,0.2593781352043152
G_LsYSgS,0.5872255563735962
rIswAY_P,0.5067663192749023
Hoc82gIg,0.4502139985561371
pBPxTMS4,0.44815462827682495
w0lfR7ot,0.45063456892967224
OXMS9yzm,0.3130532503128052
KhjbRVKw,0.37019142508506775
CtZ8E6KZ,0.5799735188484192
9iw_oAk1,0.5711396932601929
YO-NYFF1,0.5621042251586914
0PkMsgMd,0.3975173830986023
t_-adTMR,0.49332547187805176
SO4-_GV-,0.35001298785209656
dSCRuKVC,0.3833162784576416
9EcVNDvi,0.15468984842300415
tpZ5bk-F,0.4835732877254486
RwpYkKla,0.38222736120224
PYkl7wBZ,0.5508594512939453
